"id,""text_original"",""author_display_name""";;
"UgwKf4_J7RbzR0fy26l4AaABAg,""I listened to this podcast about 3 to 4 times and joined and subscribe to Super Data Science.  Thank you for the comprehensive podcast.  I liked the discussion on """"Attention"""" and the details on the (q, k, v) vectors.  I also liked the end of the podcast where the presenter (Kirill) discussed there are """"96 squared"""" attention heads."",@energyexecs";;
UgyjNdBb-vZU_sWM4a14AaABAg,What about options for companies that are restricted by their countries privacy policies?  My restrictions limit my ability to have a server located anywhere but in Canada.  I can not put the storage in another country as a restriction.,@AmandaSatherPage;;
"UgwWdI1qnfL8PcfgaQ14AaABAg,""Getting flamed for making the 5 story analogy is too funny 🤣🤣🤣";;
;;
"Great episode as always"",@alanfandrich8092";;
UgxJH5xDEH0CbnZnfGx4AaABAg,Fantastic topic and podcast 👍,@davidhason4681;;
Ugz6Em00k33n16n8-pV4AaABAg,Awesome ❤,@engmahmoudahmed1984;;
UgzlcL3YghadmHTjAyl4AaABAg,Awesome!,@geonheekim1165;;
UgzcdWqrZZ_LqIR4Mth4AaABAg,The most awesome video ever in terms of breaking down transformers. My understanding has increased tenfold,@jorgesanabria6484;;
UgxGAj55Ly2H00mSxzd4AaABAg,incredible guest. incredibly annoying host,@shauseth;;
"Ugwm1iglYzudWi5S7Ed4AaABAg,""This podcast shouldn't be free , lots of valuable information ."",@MohammedAhmed-y9r";;
Ugx5YXaWKuycWQM3GpN4AaABAg,I would surely hope you have an updated episode regarding pandas 2.0?,@AyahuascaDataScientist;;
UgyaXP8kYJGVbO-iptV4AaABAg,Cool vids!,@kaidszory8031;;
"Ugyp5y6zevpS_D7eleB4AaABAg,""Hey, first time here! Thank you for this episode!"",@konstantinospolemis3087";;
"UgwFcRSgPqEOsJxabul4AaABAg,""Amazing episode, thank you! Has the discount code expired? I'm trying to buy the bundle on the site!"",@allthingsjannah";;
"UgzKIx1ilWTJ_YvH5Fp4AaABAg,""# 1 - Many thanks to both Jon and Matt.  I bought Jon's book Deep Learning Illustrated in March 2021 which led to a more formal study.  I recently finished a online course in AI & ML and along the way you both been a source of information and have been a huge help.   I have also purchased Matt's Effective Pandas and Refactoring Pandas and they are great resources which I highly recommend!   RE the section Pandas tips, #1 @ 16:12 about """"Chaining"""", for the record... you have another firm believer and member of the """"chaining is a good thing"""" camp.  For the reasons listed, it just makes sense!";;
;;
#2 - Josh Starmer of StatQuest EP #553 was also great episode and his videos have been a huge help as well.  ;;
;;
"Excellent job as usual, thank you and please keep the great content coming!"",@jdhaus1";;
UgwEWX0lDDIWf_aLvlh4AaABAg,Matt is awesome. I'm a big fan of his. I deeply recommend his latest book Effective Pandas for those who want to learn pandas for real.,@fsilvamartins;;
UgxB5IRPuHPCZDpG2nN4AaABAg,Excellent podcast presentation.,@LaurieGondreau-v9i;;
UgxqxoYXUC1_NSmjzRl4AaABAg,Elon musk,@thomasquer452;;
"UgxbxI8dJD_jUkvkRW14AaABAg,""This is very inspirational, thank you"",@fabiojonathanarifin1";;
"UgyZom3JigmqrUv5Y954AaABAg,""Absolutely refreshing, inspiring- I'm older but found his insights something I want to share with my grandkids.  Especially how Mike is so confident, eloquent and comfortable with people- unlike Bill Gates at the same age for example.  I see Mike not only being a leader in technology and industry, but I could see him being an inspirational leader and unifier/team builder in his coming years.   As a grandad with several granddaughters and three daughters, I long to see more women that have similar traits as Mike.  Wonderful podcasts btw.  My favorites."",@tenfodaddy4351";;
"Ugx7OipsSjredb0EeJZ4AaABAg,""Lose the guitar. It screams """"Hey everybody... I play guitar! Aren't I cool?"""""",@jeffrandolf5673";;
"UgyczAgYaxUTPkcyiVJ4AaABAg,""One thing that young geniuses tend to lack are social skills.  However, that doesn't seem to be the case with Wimmer, which could make all the difference in his life."",@dhoyda";;
Ugzuvzde40qmLB-8bXR4AaABAg,I’m here because of CITIZEN FREE PRESS… it’s the best,@alexanderpadillas4323;;
"UgzQMIXt9LJIU8Xb4Pt4AaABAg,""He'll be canceled as soon as he starts talking about racial differences in IQ and comparative violent crime rates, etc."",@donaldjoy4023";;
"UgzWRGkAPaiBUvntAw14AaABAg,""The podcast host sounds like a teenage girl.  “Like”, “Really cool” “Like so awesome”."",@ng8265";;
"UgwOHbTF5ag9Ju8bm9d4AaABAg,""Try helping your neighbor that's what I do.  I have 2 degrees in electronics both 4.0/4.0 that doesn't mean jack squat. AI is going to hurt society, anybody with common sense know this.  You cant help people by being dissociated from them you must form relationships."",@pilgrimsandstrangers7910";;
"Ugyd1JFqgLSPG-7Ni4p4AaABAg,""14 years old. Wow. I'm only 1/2 way through the video, but my goodness, this young man is so impressive. It's like whatever the problem, he's going to figure out a way to mitigate it. Way to go Mike."",@mikefixac";;
Ugw3fZm4KIlZh77rQmx4AaABAg,Too much babble not enough stay on point.,@mikewhite9818;;
UgxE13m5VWFJ832EXoV4AaABAg,Podcast hosts aren’t supposed to talk more than their guest,@intrepidinvestigator5539;;
Ugy2hTAueF8ix9awTcJ4AaABAg,This AI nonsense reminds me of the NFT nonsense.,@therealthreadkilla;;
UgxwoM8-N0EQLLNTCs94AaABAg,Does he have a clue how the power structure controlling mankind over millenniums doesn't want freedom's of the common man and will stifle him if he seeks the truth,@safffff1000;;
UgxlwDwYbnzIUZsOGwd4AaABAg,Is it just me or does he not look like a young Elon Musk?,@andreiperisteri9827;;
"UgxdTWJjG8i-LvG5fYh4AaABAg,""The glass are very old, there are many new models. If you change the glasses to the new model, it will suit you very well 🙏👍"",@Fs3ha5";;
Ugzchr0iEn9ia5Up5fx4AaABAg,Sir... This is motivating me... thanks a lot... I love to hear your Podcast... ✌,@theCodeMonster3;;
UgzS2j1LNNQfaBjzPu54AaABAg,Lots of revolution will come in AI.,@asian_girl401;;
Ugy03lUL4vqxsduF3ut4AaABAg,👍,@asishjoshi5774;;
UgzwlFpNwohoLjZV2wt4AaABAg,drop the f.. music,@virtualreality99;;
UgwCf5CwHpQIWQM0g-x4AaABAg,What an embarrassingly bad interview. Horrible questions and wasting time bragging about your podcast at the beginning - yuck.,@ResIpsa-pk4ih;;
UgzL8Nl4Bf4osHkqAPp4AaABAg,As of now they seems to be sophisticated chat bots with less real depth. Agents could be the future. LLMs I still doubt as they regularly fake the citation for research papers…. Just few days back ChatGPT 4 did it. It is so naive to see how they cook up the scientific literature and introduce their own thinking rather than the authors perception,@ShivaprakashYaragal;;
Ugy6NGylQmBdO91eN_h4AaABAg,huggy,@TheNguyenben85;;
UgwCf1gnQTXUl8fC9-94AaABAg,Andrew is such a revolutionary figure. A person that for sure will be forever in history books.,@XShollaj;;
UgyOWvxc5h5sZl2-HiJ4AaABAg,Host takes the time to introduce himself but doesn't introduce who is interviewing.,@danielbuckman2727;;
"Ugxno3pN6imzre9GS094AaABAg,""I enjoy your channel, especially the way you cover.";;
"I noticed a few areas where I could help optimize your videos to reach a larger audience. Would you be open to discussing this further?"",@Sourab_Datta";;
"UgxP6iAgqu6NXuGkRlR4AaABAg,""Great podcast with bad quality cameras, anyways I will listen to it till the end. Thank you"",@truthseeker457";;
UgzAS8GtgGpZbcWr5G14AaABAg,Great show guys,@alexanderrhewitt;;
"UgzmmFEMRRvylDcDQLp4AaABAg,""This is one of the best episodes, Ed Donner is a great guy and I’d like to work with him someday."",@jeevan88888";;
UgwBtLGC8oxscPDtqS14AaABAg,Just wanted to say this episode was fantastic! I learnt a lot and it refined my mental model of the current AI engineering paradigm. A ton of value here being provided as always.,@realninja357;;
UgxOueHbrU23kN8xdEp4AaABAg,Chaining is a great tip :),@BrokenRecord-i7q;;
"Ugz9Ql4FL9OAvsOPv8h4AaABAg,""11:10 pandas has a nice .pipe method"",@coopernik";;
"UgxfPWeU4Mu7pezkDrR4AaABAg,""I'm a R tidyverse user who switched to Python. I've been chaining most of my pandas expressions because that comes natural to me (as a tidyverse user). I chain it without the parenthesis, but rather use backslash to go to new line. It has pros and cons. The main pro is I can select partial code and run it in VSCode interactive similar to that in R. It's still not a replacement for R but it's close. It looks like this:";;
;;
df\;;
    .assign(value2 = lambda df_: df_['value']**2)\;;
    .groupby('type')\;;
    .agg(value2_sum = ('value2', 'sum'))\;;
    .reset_index();;
;;
"I can select the code upto and including the first assign, run that first, check the results, and then run the rest. In this case, it's a trivial code. But in a complex chain, this can be very helpful."",@alwayz247";;
Ugypzu8ZHzxELEMHrVV4AaABAg,cool tricks !,@sitrakaforler8696;;
UgySglqhJJnhuCb462t4AaABAg,Chaining isn’t that deep.  So much exaggerations going on in the first half of the video.  I chain when it make sense and don’t when it doesn’t matter which is basically all the time for all of data science.,@jbj926;;
UgzolSBw3VV14Ep9OEV4AaABAg,Amazing clip. I love the idea of chainning that Matt presented. I come from R as well and it truly feels like piping.,@mabenba;;
"UgwCz24BVY_n-5O4LSZ4AaABAg,""Good stuff.  The guest says """"parenthese"""" for the singular form of parentheses when in fact, the correct form is parenthesis.  He might have missed that point in elementary school."",@richardbennett4365";;
UgwFAKgo7tVLiwfn5YB4AaABAg,The number on trick.. switch to R and tidyverse :),@CaribouDataScience;;
UgxaJ0QoKmJte95P0_h4AaABAg,Amazing! My two favorite internet teachers !!,@Kinnoshachi;;
"UgwUyjH8IsIkM_YytWh4AaABAg,""Intro is terrible, way too loud and the sound is annoying. Please change it.";;
"But the conversation is great."",@peeintea";;
"Ugyyc39xvfIJyPYmqwp4AaABAg,""I really loved the career path talk. I was a developer but kind of disappointed that I couldn't find many people talk about their professional life in software development. I mean for most of us, our job is the most part of our life, we should have a lot of stories for our later life to remember ( for the sake of dementia 😜). Hope to see more people to talk about how they ventured into the data science. ";;
"Also appreciate you pass on the information of the 80,000 Hours organization. This can truely help many people to find their vocation."",@yibingyang2645";;
"UgwcDiPZ4bok7YZZjHB4AaABAg,""Thanks, Jon for having Tina, really loved the conversation and learned a lot! I loved the cards and your cat"",@vijayarana2087";;
UgzeOL1uPiUIK3jpy1N4AaABAg,Cool vids,@kaidszory8031;;
UgziPMl44kjHbb1ME9J4AaABAg,Finally a good podcast! I have the same cat tree :),@SergiuMunteanu;;
UgxJ0nCDAWYLDSp-FG54AaABAg,What a great episode. Really made my current train ride 10x better. Also been watching a lot of Tina's videos already. I can really relate to her story about procrastination. Been like this in all my bachelors in industrial engineering. Then found programming and switched to business information for my masters. Focused on ml and dl in my coursework and worked my ass off in my free time to teach me ml/dl by myself. Then started working as a data scientist 😊,@jeffrey5602;;
Ugzim_r-BJZsN2mkbGJ4AaABAg,Tina rocking it !!,@Ibraheem_ElAnsari;;
UgwgDtqg6jZXmeWuAVd4AaABAg,This did not age well lol.,@InfiniteQuest86;;
"Ugzz1VEVg2RbnvG5Rnh4AaABAg,""Absolutely amazing, clear explanation. Best I've heard. Thank you!"",@SuccessWithinSuccessAllOut";;
"Ugx5GUHCn28e7qTkK6V4AaABAg,""If AI reads everything ever created will it be able to understand and come up with it's own answer questions like what is the universe, gravity etc. I guess it's only looking at humans research which could be wrong."",@jamesgreen2495";;
"UgwDvCp4UeQArdS1-tp4AaABAg,""I knew at 18 and I also know that Quatum realms are opening where we can enter a zone where there is no time. No limit to building a world with out the prisms of gravity and I also know that this power will open the curtain of Blackness and the light GOD, will stretch and squash empty dark matter with light creating a worm hole and through the thought processes of superhuman computers Entirely new heavens and universes will expand into reality. Every thing we need to know about the Universe will be taken with us and not all of the Planets population will survive the man made battle to stop superhuman computers from saving US, Believers ... chat latter."",@JohnJewel";;
UgwIyoy5YfyVALuwZZZ4AaABAg,.02 = 2%,@johnnolte6600;;
UgxgyqV_fqFnBcAB6xZ4AaABAg,Interesting conversation.,@afrikaimara;;
UgyCiwBc8r9Zjh1_YaF4AaABAg,What means agi?,@alexandrugalan5;;
UgzXhpcD-WH4B7Le1NR4AaABAg,Good talk!,@janiv3987;;
Ugw-dz2qpDP8ZoPbhKh4AaABAg,Didn't seem to offer much value other than it's closer to biology! So great if someone needs a topic for a phd but not obviously useful.,@NoName-ep2xp;;
"UgzGof5Q1Xxlw_yc7k54AaABAg,""I think it may be because papers on this is sparse in terms of actual implementation. To see how revolutionary this can be search Liquid Neural Networks for Autonomous Driving. Its always hard to pack up what youve been doing and go a different route but AI is at that point where Michaelangelo says about his work if the wine is sour throw it out. Barely good enough will not make it, AI researchers need to move on and do things that point toward more acceptable and effective systems for its purpose, hallucinations is just non negotiable and a non-starter for systems whether human or AI. If you arbitrarily do stupid things then that system is kind of what it is, a system characterized by stupidity. That is good for novelty or creative purposes but not for any serious business..."",@francisdelacruz6439";;
"UgxQ_sazLitmkGiMBEF4AaABAg,""Interesting, and a brilliant guest."",@Tbone913";;
UgxtufqWOGbHEpkyO714AaABAg,😍❤❤❤❤❤,@deuxbelle;;
UgymHRxXiD_PR-H1KyF4AaABAg,The research scientist trajectory is spot on.,@KarriemPerry;;
Ugx-LDz7pKExvb-Uiup4AaABAg,Thanks for the great video! Short and concise,@wooiljung;;
